line,class
"Laycan:  Propmt (5 days notices)","Laycan date"
"2.5% TTL COMM HERE",Commision
"2.5% ttl comm here",Commision
"22/26 apr","Laycan date"
"14.000 shinc/12.000 fhinc","Ld rate"
"stemmor 3.75% iac",Commision
"Laycan for Shipment No 1 will be 1-07 May 2017 ","Laycan date"
"Laycan for Shipment No 2 will be 6-10 May 2017","Laycan date"
"2.5% TTL COMM HERE",Commision
"VANOMET - 3.75% IAC",Commision
"3.000 SHINC / 5.000 SSHEX EIU","Ld rate"
"s p o t /20 april","Laycan date"
"22/26 apr","Laycan date"
"14.000 shinc/12.000 fhinc","Ld rate"
"stemmor 3.75% iac",Commision
"Laycan for Shipment No 1 will be 1-07 May 2017 ","Laycan date"
"Laycan for Shipment No 2 will be 6-10 May 2017","Laycan date"
"2.5% TTL COMM HERE",Commision
"10 / 13 April ","Laycan date"
"5.0% iac",Commision
"2.5% TTL COMM HERE",Commision
"COMM 3.75% IAC",Commision
"2.5% TTL COMM HERE",Commision
"20-27 apr","Laycan date"
"5.0% IAC",Commision
"Discharge port:",Ports
"Comm 2.5% ttl here",Commision
"2.5% ttl comm here",Commision
"DISCH PORT  1-2 SB(S) EACH PORT 1-2 P(S) IN CHARTERERS OPTION OUT OF ",Ports
"LAYCAN      S P O T   TRY 15th APRIL CANCELLING","Laycan date"
"DISCH RATE  DES         - 2.500 MTS PWWD CHOPT 1.500 MTS","Ld rate"
"2.5% TTL COMM HERE",Commision
"LAYCAN 17-25 APRIL ","Laycan date"
"GCN 3.75% IAC",Commision
"LAYCAN : VSL DATE..","Laycan date"
"Laycan : 13/17 April ","Laycan date"
"2.5% ttl comm here",Commision
"L/C 5-8 APRIL ","Laycan date"
"7 TTL DAYS SSHEX / FHEX ","Ld rate"
"3.75% iac",Commision
"05/07 APR.","Laycan date"
"3.75% IAC",Commision
"07/10 APR.","Laycan date"
"3.75% IAC",Commision
"05/07 APR.","Laycan date"
"3.75% IAC",Commision
"07/10 APR.","Laycan date"
"3.75% IAC",Commision
"5/10 MAY","Laycan date"
"3.75% IAC",Commision
"L/D 7 TTL DAYS","Laycan date"
"GCN 3.75% IAC",Commision
"L/D 6 TTL DAYS","Laycan date"
"GCN 3.75% IAC",Commision
"L/D 5 TTL DAYS","Laycan date"
"GCN 3.75% IAC",Commision
"Beg May 2017","Laycan date"
"2.5% ttl comm here",Commision
"Laycan : 13/17 April ","Laycan date"
"2.5% ttl comm here",Commision
"Beg May 2017","Laycan date"
"2.5% ttl comm here",Commision
"5/10 MAY","Laycan date"
"3.75% IAC",Commision
"-comm 3.75% ttl here",Commision
"LAY/CAN 9/11 APRIL ","Laycan date"
"5.0% IAC",Commision
1000/1000,"Ld rate"
"2.5% ttl comm here",Commision
"30 APR/ 5 MAY","Laycan date"
"5.0% IAC",Commision
"- Pori/ronskar(5000 sshex)","Ld rate"
"- Bourgas(5000 sshex)","Ld rate"
"- Huelva(5000 sshex)","Ld rate"
"- Brunsbuettel (5000 sshex)","Ld rate"
"5.0% IAC",Commision
"L/C: 01/05 May 2017","Laycan date"
"L/D: 750 mt per hook per WWD SHEX EIU / 1000 mt per WWD FHEX EIU, basis 3 workable hooks","Laycan date"
"2.5% TTL COMM HERE",Commision
"14 April onwards","Laycan date"
"3.75% iac",Commision
"		5.0% iac ttl here",Commision
"Load rate : 8000 MT PWWD FHINC","Ld rate"
"Discharge rate : 7000 MT PWWD FHINC ","Ld rate"
"Laycan:  Beg May 2017","Laycan date"
"L/C: 20/30 April","Laycan date"
"L/D: 8000x/ 4000x","Laycan date"
"L/D: 1,500 shinc/ 1,000 shex uu","Laycan date"
"20/26 April","Laycan date"
"3.75% iac",Commision
"L/D: 6000.0 MT PWWD FHINCH / 5000.0 MT PWWD SHINCH","Laycan date"
"1500 / 2000 sshex eiu   ","Ld rate"
"lc 23-25 April'17","Laycan date"
"l/d 6 ttl days","Laycan date"
"l/c 4-12 April 2017","Laycan date"
"3.75% iac",Commision
"13 / 14 April","Laycan date"
"3.75% iac",Commision
15-17.April,"Laycan date"
"3.75% iac",Commision
"17/19 April","Laycan date"
"ttl 8 daps sshex","Ld rate"
"5.0% iac",Commision
"3.75% iac",Commision
"7.000 SHINC / 3.500 FHINC","Ld rate"
"3.75% IAC ",Commision
"20 APRIL  ONW ","Laycan date"
"2.5% TTL COMM HERE",Commision
"DISCH PORT  1-2 sb(s) each port 1-2p <x-apple-data-detectors://3> (s) in Charterers’ ",Ports
"LOADRATE    2,500 mtons pwwd","Ld rate"
"DISCH RATE  Berbera     2,500 mtons pwwd ","Ld rate"
"TTL COMM 3.75 % IAC",Commision
"LAYCAN      28 April / 5 May 2017","Laycan date"
"LOADRATE    2,500 mtons pwwd","Ld rate"
"DISCH RATE  Berbera     2,500 mtons pwwd ","Ld rate"
"L/C: 8/12 May","Laycan date"
"L/D: 15,000/20,000 SHINC – 12 hrs TT","Laycan date"
"2.5% ttl comm here",Commision
"L/C: 11/17 May 2017","Laycan date"
"11/15TH APR 2017 ","Laycan date"
"3.75% IAC",Commision
"LAYCAN SPOT PTW  ","Laycan date"
"L/D : 6000/4000","Laycan date"
"2.5% TTL COMM HERE",Commision
"L/C: 05/10 May 2017","Laycan date"
"Discharge rate: 3500 MT / 24 hours WWDSHINC basis 4 cranes working","Ld rate"
"2.5% TTL COMM HERE",Commision
15-17.April,"Laycan date"
"3.75% iac",Commision
"21/23 APRIL ","Laycan date"
"5.0% IAC",Commision
"3.75% IAC",Commision
"L/D: 4000 MT PWWDSHINC/CQD","Ld rate"
"3.75% IAC",Commision
"5.0% IAC",Commision
"Mid April, 2017","Laycan date"
"24/27 APRIL     ","Laycan date"
"2.5% TTL COMM HERE",Commision
"23 / 24 April 2017 ","Laycan date"
"2.5% TTL COMM HERE",Commision
"10000 mts pwwd shinc ld rate","Ld rate"
"Discharge rate: 3500 MT / 24 hours WWDSHINC basis 4 cranes working","Ld rate"
"L/D: 4000 mt pwwd / 4000 mt pwwd","Laycan date"
"2.5% TTL COMM HERE ",Commision
"ppt onw –early may ","Laycan date"
"3.75% iac",Commision
"10/20 april ","Laycan date"
"2500 shinc/3500 shinc","Ld rate"
"3.75% iac",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"laycan 28/31 april","Laycan date"
"3.75% iac",Commision
"3.75% IAC",Commision
"6000  SHINC  / 5000 SHINC ","Ld rate"
"LAYCAN SPOT PPT ONW ","Laycan date"
"L/D: 1,600MT WWD SHINC 12TT IUATUTC / 1,600MT WWD SHINC 12TT IUATUTC","Laycan date"
"3.75% iac",Commision
"5.0% IAC",Commision
"l/c 14-16 of April","Laycan date"
"com 3.75% iac",Commision
"L/D 2000 be","Laycan date"
"3.75% iac",Commision
"20/23  April ","Laycan date"
"Gcn 3.75% iac",Commision
"L/D TTL DAYS ","Laycan date"
"3.75% IAC",Commision
"22 April onwards ","Laycan date"
"3500 / 2500  shinc/fhinc","Ld rate"
"5.0% iac",Commision
"L/D: 8000MT PWWD SHINC/3000MT PWWD FHINC","Laycan date"
"2.5% TTL COMM HERE",Commision
"L/D: 10000MT PWWD SHINC/2000MT PWWD FHINC","Laycan date"
"2.5% TTL COMM HERE",Commision
"L/D ttl days sshex eiu be","Ld rate"
"L/C May 2017","Laycan date"
"3.75% iac",Commision
"L/D 8000 / 3000","Laycan date"
"3.75% IAC",Commision
"5.0% iac",Commision
"l/d depending on intake","Laycan date"
"3.75% iac",Commision
"L/D ttl days ","Laycan date"
"3.75% iac",Commision
"3.75% iac",Commision
"April 14/16","Laycan date"
"CQD/1500mt sshex uu pwwd","Ld rate"
"3.75% iac ",Commision
"3.75% IAC",Commision
"15/17 APRIL","Laycan date"
"3.75% IAC",Commision
"5000 mt pwwd//2500 mt pwwd","Ld rate"
"?5.0% iac",Commision
"96 ttlhrs shex/shinc","Ld rate"
"Gcn 5.0% iac",Commision
"04-07 May 2017","Laycan date"
"L/C 25/30 APRIL ","Laycan date"
"L/D 4000/2500 SID, GRED MIN 25 MT","Laycan date"
"TTL COMM 5.0% IAC",Commision
"apr 21/25","Laycan date"
"3.75% iac",Commision
"20/23  April ","Laycan date"
"gcn 3.75% iac",Commision
"18/22 April","Laycan date"
"3.75% iac",Commision
"L/D: 7000 MT PWWD SHINC/8000  MT PWWD SHINC BASIS 4HOOKS/HOLDS PRORATA ","Laycan date"
"5.0% IAC",Commision
"3.75% iac",Commision
"LC:  19-21 Apr","Laycan date"
"3.75% iac",Commision
"15/20 Apr.","Laycan date"
"3.75% iac",Commision
"14/20 Apr.","Laycan date"
"3.75% iac",Commision
"may dates","Laycan date"
"5.0% iac",Commision
"3.75% iac",Commision
"1/10  May","Laycan date"
"3.75% iac",Commision
"13/17 APRIL","Laycan date"
"2.5% TTL COMM HERE",Commision
"Syna 5.0% iac",Commision
"2.5% TTL COMM HERE",Commision
"25/28 APRIL","Laycan date"
"5.0% iac",Commision
"5.0% IAC",Commision
"l/d 6 ttl days","Laycan date"
"l/c 4-12 April 2017","Laycan date"
"3.75% iac",Commision
"L/C 15/31 May, 2017","Laycan date"
"15-20 APRIL","Laycan date"
"GCN 3.75% IAC",Commision
"2000 FSHEX / 2000 SSHEX","Ld rate"
"GCN 5.0% IAC",Commision
"18-21 april ","Laycan date"
"5.0% iac",Commision
"L/C 02-10 MAY.2017","Laycan date"
"L/D FREE IN, 2 DAYS SHINC / LINER OUT","Laycan date"
"GENCON 5.0% IAC",Commision
"b/n 3.75% iac",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"26/30 April","Laycan date"
"3.75% iac",Commision
"L/D 7 ttl days  ","Laycan date"
"3.75% iac",Commision
"l/d 3500x/2500x","Laycan date"
"l/c 10 May onwards","Laycan date"
"25/30 APRIL","Laycan date"
"GCN 3.75% IAC",Commision
"LOAD RATE  : 7000 PWWD SHINC","Ld rate"
"DISH RATE  : 3000 PWWD FHINC ","Ld rate"
"NAGOYA – 7,000MTS PWWD SHINC","Ld rate"
"DISRATE: 6,000MTS PWWD SHINC","Ld rate"
"L/C 5/10 May ","Laycan date"
"L/D 4000MT PWWD SHINC / 5000 MT PWWD SHINC.","Laycan date"
"2.5% ttl comm here",Commision
"10,000 shinc / 7,000 shinc","Ld rate"
"2.5% ttl comm here",Commision
"laycan:  28-29 April ","Laycan date"
"2.5% ttl comm here",Commision
"25/30 APRIL","Laycan date"
"2.5% TTL COMM HERE",Commision
"LC 14 / 17 APRIL ","Laycan date"
"TTL COMM 2.5% HERE ON FDD",Commision
"L/D Cqd/Cqd","Laycan date"
"TTL COMM: 3.75% iac",Commision
"-  Load Rate: 6000MT SSHEX","Ld rate"
"3.75% iac",Commision
"1-10 May","Laycan date"
"5.0% iac",Commision
"2 days sshex / LO","Ld rate"
"3.75% iac",Commision
"Disch PORT: Paradip AND HALDIA",Ports
"Laycan 10 th - 15th MAY 2017.","Laycan date"
"Loadrate:  SCALE PWWD SHINC.","Ld rate"
"Disch rate: PARADIP 10,000MT AND HALDIA 6000 MT PWWD SHINC..","Ld rate"
"Loading port: Gebze port",Ports
"Discharge port : Adriatic or Antwerpor Bremen, depends on best freight level ",Ports
"Loading dates June 2017","Laycan date"
"Ttl. here 3.75% iac",Commision
"Laycan- 25-28 April <x-apple-data-detectors://1> ","Laycan date"
"Ttl. here 3.75% iac",Commision
"LAYCAN  PPM","Laycan date"
"COMM 2.5 % TTL HERE",Commision
"Loading port : 1SBP Cigading port Indonesia ",Ports
"Discharge port : 1SAP Chittagong port of Bangladesh ",Ports
"Laycan : 20-27 April 2017 <x-apple-data-detectors://3> ","Laycan date"
"L/D rate : 8000/3000 Pwwd Shinc Bends","Ld rate"
"5.0% iac",Commision
"L/D : 5000 MTS  SSHEX BENDS","Ld rate"
"MID OF MAY. ","Laycan date"
"L/D : 5000 MTS  SSHEX BENDS","Ld rate"
"MID OF MAY. ","Laycan date"
"3.75% iac",Commision
"3.75% IAC",Commision
"Laycan 24-28 April ","Laycan date"
"2.000 mt sshex eiu/ cqd","Ld rate"
"24/28 APRIL","Laycan date"
"2.5% TTL COMM HERE",Commision
"5-7 MAY 2017 ","Laycan date"
"3.75% IAC",Commision
"3.75% iac",Commision
"laycan 22/24 april","Laycan date"
"Loading Port:    Marina di Carrara , Italy.  ",Ports
"Discharge Port:  Sault Saint Mary , Canada.",Ports
"25/30 APRIL","Laycan date"
"2.5% TTL COMM HERE",Commision
"2.5% TTL COMM HERE",Commision
"2.5% TTL COMM HERE",Commision
"2.5% TTL COMM HERE",Commision
"10-17 May","Laycan date"
"2.5% TTL COMM HERE",Commision
"4 TTL DAYS / 800 SSHEX EIU BE","Ld rate"
"2.5% TTL COMM HERE",Commision
"2.5% TTL COMM HERE",Commision
"24/28 APRIL","Laycan date"
"2.5% TTL COMM HERE",Commision
"L/D 50000 MTS / 20000 MTS ","Laycan date"
"2 days sshex eiu / Liner Out","Ld rate"
"2.5% TTL COMM HERE",Commision
"Ttl 4 days sshex eiu","Ld rate"
"2.5% TTL COMM HERE",Commision
"2 days sshex eiu / Liner out","Ld rate"
"2.5% TTL COMM HERE",Commision
"L/D 2000 FHEX EIU / 2000 SHEX EIU","Laycan date"
"5.0% IAC",Commision
"3.75% IAC",Commision
"2.5% TTL COMM HERE",Commision
"2.5% TTL COMM HERE",Commision
"13/17 APRIL","Laycan date"
"2.5% TTL COMM HERE",Commision
"Syna 5.0% iac",Commision
"2.5% TTL COMM HERE",Commision
"25-30 APRIL","Laycan date"
"GCN 3.75% IAC",Commision
"2 days sshex eiu / Liner Out","Ld rate"
"2.5% TTL COMM HERE",Commision
"Ttl 4 days sshex eiu","Ld rate"
"2.5% TTL COMM HERE",Commision
"2 days sshex eiu / Liner out","Ld rate"
"2.5% TTL COMM HERE",Commision
"LAYCAN : 31 MARCH/06 APRIL 2017","Laycan date"
"TTL COMM 3.75% IAC",Commision
"5/15 April","Laycan date"
"3.75% iac",Commision
"Discharge Port                          : 1 SBSP DUQUM Port, Sultanate of Oman",Ports
"Discharge Rate                     : 5,000 Mt PWWD FHEX","Ld rate"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo -  Stone chips in bulk",Description
"Quantity - 55,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP Chittagong or Mongla",Ports
"Laycan – Spot","Laycan date"
"Load Rate - 10,000mt pwwd shinc","Ld rate"
"Disch Rate - 3,000mt pwwd fhinc","Ld rate"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo -  Limestone in bulk",Description
"Quantity - 45,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP Chittagong, Bangladesh",Ports
"Laycan 10-15April, 2017","Laycan date"
"Load Rate - 8,000mt pwwd shinc","Ld rate"
"Disch Rate - 3,000mt pwwd fhinc","Ld rate"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo: Woodchips in bulk",Description
"Laycan: 15-20April, 2017","Laycan date"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo -  COAL in bulk",Description
"Quantity - 100,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP + 1/2 SBP Kandla, WCI",Ports
"Laycan Early of April, 2017","Laycan date"
"Load Rate - 40,000mt pwwd shinc","Ld rate"
"Disch Rate - 25,000mt pwwd shinc","Ld rate"
"4.000 FHEX UU / 10.000SHINC","Ld rate"
"12-13 Apr","Laycan date"
"6.500 Shinc/5 days Sshex-eiu","Ld rate"
"2.5% ttl comm here",Commision
"Chornomorsk -> Psachna - 9000 MTS SOYABEANS","Ports Quantity"
"2500/3000 sshex eiu","Ld rate"
"3.75% iac",Commision
"laycan: 05/09 april, 2017","Laycan date"
"3.75% iac",Commision
"- 5/15 APRIL","Laycan date"
"- 2500 TONS LOAD",Quantity
"  9000 TONS MOMBASA",Quantity
"DISCH PORT  1-2 SB(S) EACH PORT 1-2 P(S) IN CHARTERERS’",Ports
"LAYCAN      15 / 20 APRIL 2017","Laycan date"
"LOADRATE    4.000 MTS PWWD ","Ld rate"
"DISCH RATE  YEMEN       - 2.500 MTS PWWD","Ld rate"
"2500 / CQD","Ld rate"
"10-11 April","Laycan date"
"2.5% ttl comm here",Commision
"12-13 Apr","Laycan date"
"6.500 Shinc/5 days Sshex-eiu","Ld rate"
"2.5% ttl comm here",Commision
"Discharge Port                          : 1 SBSP DUQUM Port, Sultanate of Oman",Ports
"Discharge Rate                     : 5,000 Mt PWWD FHEX","Ld rate"
"2.5% ttl comm here",Commision
"3000 / 3000 sshex eiu  ","Ld rate"
"lc 12-15 April'17  ","Laycan date"
"5.0% iac",Commision
"LAYCAN STARTING FM APRIL 2017","Laycan date"
"L/D 5.000 / 3.500 MT","Laycan date"
"3.75% IAC",Commision
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo -  Stone chips in bulk",Description
"Quantity - 55,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP Chittagong or Mongla",Ports
"Laycan – Spot","Laycan date"
"Load Rate - 10,000mt pwwd shinc","Ld rate"
"Disch Rate - 3,000mt pwwd fhinc","Ld rate"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo -  Limestone in bulk",Description
"Quantity - 45,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP Chittagong, Bangladesh",Ports
"Laycan 10-15April, 2017","Laycan date"
"Load Rate - 8,000mt pwwd shinc","Ld rate"
"Disch Rate - 3,000mt pwwd fhinc","Ld rate"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo: Woodchips in bulk",Description
"Laycan: 15-20April, 2017","Laycan date"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo -  COAL in bulk",Description
"Quantity - 100,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP + 1/2 SBP Kandla, WCI",Ports
"Laycan Early of April, 2017","Laycan date"
"Load Rate - 40,000mt pwwd shinc","Ld rate"
"Disch Rate - 25,000mt pwwd shinc","Ld rate"
"4.000 FHEX UU / 10.000SHINC","Ld rate"
"Laycan- 28’April’17 to 4’May’17","Laycan date"
"Discharge Rate","Ld rate"
"2.5% ttl comm here",Commision
"l/c 14-16 of April","Laycan date"
"com 3.75% iac",Commision
"L/D 2000 be","Laycan date"
"3.75% iac",Commision
"L/D 8000 / 3000","Laycan date"
"3.75% IAC",Commision
"15/31 May, 2017","Laycan date"
"LAYCAN : 28/31TH APR. 2017","Laycan date"
"3.75% IAC",Commision
"3.75% iac",Commision
"4/6 Apri","Laycan date"
"2.5% ttl comm here",Commision
"1500 sshinc / 1000 sshex","Ld rate"
"12 / 14 April 2017","Laycan date"
"2.5% ttl comm here",Commision
"2.5% ttl comm here",Commision
"Laycan 05/08 Apr ","Laycan date"
"2.5% ttl comm here",Commision
"2.5% ttl comm here",Commision
"2.5% ttl comm here",Commision
"2.5% ttl comm here",Commision
"5.0% IAC",Commision
"4 TTL DAYS / 800 SSHEX EIU BE","Ld rate"
"2.5% TTL COMM HERE",Commision
"2.5% TTL COMM HERE",Commision
"15/30 april","Laycan date"
"3.25% iac",Commision
"Gcn 3.25% iac",Commision
"27 / 31 march","Laycan date"
"5.0% iac",Commision
"L/D 8 TTL DAYS","Laycan date"
"GCN 3.75% IAC",Commision
"3.75% IAC",Commision
"4000/2000 sshex","Ld rate"
"25/30 march","Laycan date"
"Gcn 5.0% iac",Commision
"12/20 april","Laycan date"
"Gcn 5.0% iac",Commision
"LAYCAN : 31 MARCH/06 APRIL 2017","Laycan date"
"TTL COMM 3.75% IAC",Commision
"3.75% iac",Commision
"L/D ttl days sshex eiu be","Ld rate"
"L/C May 2017","Laycan date"
"3.75% iac",Commision
"01-07 May","Laycan date"
"may dates","Laycan date"
"5.0% iac",Commision
"3.75% iac",Commision
"Description of goods: rebars in fixed length ",Description
"LC:  19-21 Apr","Laycan date"
"3.75% iac",Commision
"15/20 Apr.","Laycan date"
"3.75% iac",Commision
"14/20 Apr.","Laycan date"
"3.75% iac",Commision
"96 ttlhrs shex/shinc","Ld rate"
"Gcn 5.0% iac",Commision
"b/n 3.75% iac",Commision
"L/D 7 ttl days ","Laycan date"
"3.75% iac",Commision
"5.0% IAC",Commision
"1-10 May","Laycan date"
"5.0% iac",Commision
"2 days sshex / LO","Ld rate"
"3.75% iac",Commision
"24/28 APRIL","Laycan date"
"2.5% TTL COMM HERE",Commision
"2.5% ttl comm here",Commision
"2.5% TTL COMM HERE",Commision
"4-5 April","Laycan date"
"5 Ttlwwdays sshex eiu","Ld rate"
"5 ttl days sshinc","Ld rate"
"5.0% iac",Commision
"29/30  March","Laycan date"
"3000 sshex /800 fshex","Ld rate"
"Gnc 3.75% iac",Commision
01-10.April,"Laycan date"
"3.75% iac",Commision
"28-Mar/ 02-April","Laycan date"
"5.0% iac",Commision
"Laycan- 20’April’17 to 26’April’17","Laycan date"
"Load Rate: Sherbo River -7,000 MT/day","Ld rate"
"2.5% TTL Comm HERE",Commision
"GENCON 5.0% IAC",Commision
"10TH APRIL","Laycan date"
"TTL W  900MTONS",Quantity
"Gcn 5.0% iac",Commision
"Gcn 5.0% iac",Commision
"Gcn 5.0% iac",Commision
"16/22 APRIL","Laycan date"
"3.75% IAC",Commision
"L/D TTL DAYS","Laycan date"
"TTL 3.75% IAC",Commision
"3.75% IAC",Commision
"10 / 13 April","Laycan date"
"5.0% iac",Commision
"2.5% TTL COMM HERE",Commision
"COMM 3.75% IAC",Commision
"8/12 april","Laycan date"
"3.75% iac",Commision
04-10.April,"Laycan date"
"3.75% iac",Commision
"3.75% iac",Commision
"Discharge port:",Ports
"L/D 7 TTL DAYS","Laycan date"
"GCN 3.75% IAC",Commision
"L/D 6 TTL DAYS","Laycan date"
"GCN 3.75% IAC",Commision
"L/D 5 TTL DAYS","Laycan date"
"GCN 3.75% IAC",Commision
"18 APRIL onwards","Laycan date"
"2.5% ttl comm here",Commision
"15/20 APRIL","Laycan date"
"2.5% TTL COMM HERE",Commision
"20/26 April","Laycan date"
"3.75% iac",Commision
"L/D: 6000.0 MT PWWD FHINCH / 5000.0 MT PWWD SHINCH","Laycan date"
"DISCHARGE PORT: 1SBP QINZHOU OR FANGHENG OR DONGGUANG, CHINA.",Ports
"L/D RATE: 7000MT PWWD  SHINC/10000MT PWWD SHINC.","Ld rate"
"L/C: 05/10 May 2017","Laycan date"
"Discharge rate: 3500 MT / 24 hours WWDSHINC basis 4 cranes working","Ld rate"
"2.5% TTL COMM HERE",Commision
"24/27 APRIL    ","Laycan date"
"15-20 April","Laycan date"
"5.0% IAC",Commision
"3500 / 3000 shinc be","Ld rate"
"22/25 April","Laycan date"
"5.0% iac",Commision
"2.5% TTL COMM HERE",Commision
"L/D: 1,600MT WWD SHINC 12TT IUATUTC / 1,600MT WWD SHINC 12TT IUATUTC","Laycan date"
"3.75% iac",Commision
"5.0% iac",Commision
"April 14/16","Laycan date"
"CQD/1500mt sshex uu pwwd","Ld rate"
"3.75% iac",Commision
"L/D: 7000 MT PWWD SHINC/8000  MT PWWD SHINC BASIS 4HOOKS/HOLDS PRORATA","Laycan date"
"5.0% IAC",Commision
"10-17 May","Laycan date"
"2.5% TTL COMM HERE",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"5 / 9 APRIL","Laycan date"
"L 1350 MTS/WWD SSHEX","Ld rate"
"D 1350 MTS/WWD SSHEX","Ld rate"
"2.5% ttl comm here",Commision
"01/10 April 2017","Laycan date"
"laycan 02 – 03 April 2017","Laycan date"
"laycan: 04 - 06/apr 2017 ","Laycan date"
"load rate: 3000 mt pwwd sshinc ","Ld rate"
"disch rate: 2500 mt sshex eiu ","Ld rate"
"20-30 April date","Laycan date"
"3.75% iac",Commision
"spot/1 april","Laycan date"
"4000fhex uu / 10000shinc","Ld rate"
"gcn 3.75% IAC",Commision
"l/d: 3000/2000 mt","Laycan date"
"laycan: 17-21 April","Laycan date"
"gencon 4.0% iac",Commision
"2.5% ttl comm here",Commision
"5-8 April","Laycan date"
"Quantity: 20,000mts (+/-10%)",Quantity
"Laycan : 20th - 30th April 2017","Laycan date"
"COMM : Total 2.5% here",Commision
"2.5% TTL COMM HERE",Commision
"3/15 APRIL","Laycan date"
"3.75% IAC",Commision
"4-5 April","Laycan date"
"5 Ttlwwdays sshex eiu","Ld rate"
"03/09 April","Laycan date"
"2.5% TTL COMM HERE",Commision
"1/10 APRIL","Laycan date"
"3000 FHEX/2500 SSHEX","Ld rate"
"LAYCAN : 28/31TH APR. 2017","Laycan date"
"3.75% IAC",Commision
"1ST WEEK APRIL","Laycan date"
"L/d : 2500-3000 / 1800 mt SSHEX EIU","Laycan date"
"LC - May 2017","Laycan date"
"Syna 5.0% iac",Commision
"10/14 April 2017","Laycan date"
"5.0% iac",Commision
"2500/2000 sshex bends","Ld rate"
"3.75% IAC",Commision
"EARLY MAY 17","Laycan date"
"2.5% TTL COMM HERE",Commision
"EARY MAY 17","Laycan date"
"2.5% TTL COMM HERE",Commision
"22/26 apr","Laycan date"
"14.000 shinc/12.000 fhinc","Ld rate"
"stemmor 3.75% iac",Commision
"Laycan for Shipment No 1 will be 1-07 May 2017","Laycan date"
"Laycan for Shipment No 2 will be 6-10 May 2017","Laycan date"
"2.5% TTL COMM HERE",Commision
"05/07 APRIL","Laycan date"
"3.75% IAC",Commision
"10/15 APRIL","Laycan date"
"3.75% IAC",Commision
"L/D  1000/1000 ton gün —SHEX EIU (Laytime Reversible)","Laycan date"
"2.5% TTL COMM HERE",Commision
"2.5% TTL COMM HERE",Commision
"2.5% ttl comm here",Commision
"GCN 3.75% IAC",Commision
"LAYCAN : VSL DATE..","Laycan date"
"05/07 APR.","Laycan date"
"3.75% IAC",Commision
"07/10 APR.","Laycan date"
"3.75% IAC",Commision
"L/D: 1,500 shinc/ 1,000 shex uu","Laycan date"
"30 APR/ 5 MAY","Laycan date"
"5.0% IAC",Commision
"14 April onwards","Laycan date"
"3.75% iac",Commision
"- Pori/ronskar(5000 sshex)","Ld rate"
"- Bourgas(5000 sshex)","Ld rate"
"- Huelva(5000 sshex)","Ld rate"
"- Brunsbuettel (5000 sshex)","Ld rate"
"5.0% IAC",Commision
"3.75% iac",Commision
"7.000 SHINC / 3.500 FHINC","Ld rate"
"3.75% IAC",Commision
"11/15TH APR 2017","Laycan date"
"3.75% IAC",Commision
"L/D : 6000/4000","Laycan date"
"2.5% TTL COMM HERE",Commision
"LAYCAN SPOT PTW ","Laycan date"
"3.75% IAC",Commision
"L/D: 8000MT PWWD SHINC/3000MT PWWD FHINC","Laycan date"
"2.5% TTL COMM HERE",Commision
"L/D: 10000MT PWWD SHINC/2000MT PWWD FHINC","Laycan date"
"2.5% TTL COMM HERE",Commision
"20/23  April","Laycan date"
